topic0,growth,continu,demand,recoveri,remain,domest,pace,support,weak,eas,grow,strong,moder,strength,robust,recov,gradual,pick,strengthen,modest
 ,0.142,0.089,0.072,0.051,0.05,0.033,0.028,0.027,0.024,0.022,0.022,0.017,0.017,0.015,0.015,0.015,0.015,0.015,0.015,0.012
topic1,remain,level,past,averag,year,low,broadli,although,around,crisi,recent,littl,histor,pre,close,rel,continu,appear,chart,stabl
 ,0.127,0.071,0.067,0.046,0.044,0.044,0.036,0.034,0.032,0.032,0.031,0.029,0.024,0.022,0.022,0.022,0.02,0.02,0.018,0.018
topic2,year,chart,averag,tabl,probabl,around,show,time,forecast,report,outturn,expect,distribut,rang,ahead,extern,horizon,slightli,compar,similar
 ,0.131,0.119,0.075,0.038,0.038,0.036,0.033,0.027,0.023,0.021,0.021,0.02,0.02,0.019,0.019,0.017,0.015,0.015,0.015,0.014
topic3,rate,interest,market,impli,offici,expect,rise,path,chart,futur,particip,point,basi,lower,forward,unchang,yield,curv,short,follow
 ,0.383,0.109,0.092,0.032,0.031,0.023,0.021,0.021,0.019,0.014,0.013,0.012,0.011,0.011,0.011,0.011,0.01,0.009,0.008,0.008
topic4,expect,term,near,littl,medium,month,outlook,short,rise,longer,fall,remain,anticip,weaker,consist,continu,next,ago,broadli,recent
 ,0.209,0.189,0.07,0.044,0.039,0.033,0.033,0.028,0.027,0.023,0.019,0.017,0.016,0.016,0.015,0.014,0.013,0.013,0.012,0.012
topic5,uk,export,trade,import,net,sterl,good,demand,kingdom,domest,world,unit,account,deficit,depreci,contribut,current,volum,foreign,servic
 ,0.095,0.078,0.074,0.072,0.054,0.042,0.035,0.032,0.024,0.023,0.022,0.021,0.02,0.017,0.016,0.016,0.014,0.013,0.013,0.012
topic6,hous,market,increas,activ,indic,price,rise,may,sale,retail,recent,mortgag,properti,time,although,appear,equiti,valu,number,associ
 ,0.101,0.052,0.043,0.037,0.035,0.031,0.028,0.026,0.024,0.023,0.021,0.02,0.016,0.014,0.013,0.012,0.012,0.012,0.012,0.012
topic7,survey,servic,output,sector,suggest,manufactur,indic,report,evid,agent,busi,region,industri,construct,accord,balanc,consist,cbi,firm,order
 ,0.126,0.07,0.069,0.063,0.059,0.047,0.036,0.03,0.026,0.024,0.021,0.02,0.017,0.015,0.014,0.014,0.013,0.012,0.012,0.01
topic8,growth,quarter,gdp,slow,output,weaker,trend,stronger,slowdown,quarterli,grew,pick,slightli,underli,strong,half,somewhat,tabl,activ,follow
 ,0.353,0.098,0.09,0.053,0.032,0.028,0.022,0.021,0.019,0.015,0.014,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.008
topic9,risk,committe,outlook,uncertainti,balanc,judg,view,possibl,downsid,judgement,central,prospect,overal,consider,project,rang,upsid,greater,member,mpc
 ,0.105,0.058,0.055,0.055,0.044,0.033,0.03,0.027,0.025,0.024,0.023,0.022,0.019,0.019,0.016,0.015,0.015,0.015,0.013,0.013
topic10,household,spend,incom,consumpt,consum,real,save,increas,futur,wealth,confid,debt,ratio,may,rise,current,higher,tax,boost,financi
 ,0.145,0.099,0.084,0.076,0.064,0.062,0.035,0.025,0.022,0.019,0.017,0.017,0.016,0.016,0.012,0.012,0.011,0.01,0.009,0.009
topic11,price,oil,import,energi,rise,commod,good,increas,cost,higher,food,ga,futur,retail,pass,input,non,produc,petrol,domest
 ,0.36,0.063,0.043,0.038,0.032,0.026,0.025,0.024,0.022,0.022,0.019,0.018,0.017,0.017,0.016,0.012,0.012,0.008,0.008,0.007
topic12,economi,euro,unit,area,global,activ,world,state,prospect,market,countri,kingdom,uk,econom,emerg,develop,outlook,major,concern,financi
 ,0.073,0.059,0.055,0.052,0.043,0.034,0.03,0.029,0.027,0.026,0.026,0.022,0.02,0.019,0.018,0.016,0.012,0.012,0.012,0.012
topic13,fall,reflect,chart,declin,fallen,part,larg,lower,sharpli,fell,follow,much,sharp,recent,earli,past,partli,recess,markedli,mid
 ,0.149,0.111,0.074,0.071,0.05,0.044,0.035,0.033,0.03,0.023,0.023,0.021,0.021,0.02,0.016,0.016,0.015,0.013,0.012,0.012
topic14,report,sterl,august,novemb,februari,exchang,higher,time,start,lower,may,point,rate,effect,around,averag,depreci,index,eri,dollar
