topic0,market,move,use,point,increas,thing,rel,gener,direct,curv,cours,day,basi,quit,follow,time,novemb,around,know,actual
 ,0.207,0.084,0.064,0.039,0.031,0.031,0.03,0.026,0.023,0.02,0.015,0.014,0.013,0.011,0.01,0.01,0.01,0.008,0.008,0.007
topic1,know,thing,mean,think,realli,point,lot,governor,probabl,someth,sort,ye,volatil,got,certainli,add,letter,therefor,moment,write
 ,0.116,0.074,0.07,0.051,0.036,0.036,0.032,0.031,0.028,0.025,0.025,0.022,0.018,0.016,0.015,0.011,0.01,0.009,0.009,0.007
topic2,asset,purchas,money,want,oper,buy,instrument,amount,yield,scale,tri,financ,mechan,gilt,bond,flow,corpor,programm,noth,size
 ,0.085,0.052,0.044,0.025,0.025,0.024,0.021,0.02,0.016,0.015,0.015,0.015,0.015,0.014,0.014,0.013,0.012,0.012,0.01,0.01
topic3,world,trade,exchang,countri,larg,economi,demand,domest,uk,import,export,sterl,rebalanc,part,net,rest,account,currenc,result,deficit
 ,0.096,0.055,0.046,0.046,0.041,0.039,0.038,0.033,0.029,0.026,0.023,0.022,0.022,0.018,0.017,0.017,0.017,0.014,0.013,0.013
topic4,inflat,price,target,bring,rise,shock,increas,oil,higher,energi,expect,commod,movement,food,ahead,explain,cpi,push,pressur,ga
 ,0.26,0.133,0.107,0.027,0.026,0.023,0.022,0.021,0.02,0.019,0.017,0.016,0.016,0.012,0.01,0.009,0.009,0.008,0.008,0.008
topic5,forecast,bit,expect,horizon,littl,end,thing,august,point,slightli,pass,turn,model,lower,stronger,cours,relev,weaker,actual,though
 ,0.162,0.045,0.042,0.038,0.035,0.033,0.029,0.025,0.023,0.018,0.016,0.016,0.016,0.015,0.014,0.013,0.013,0.012,0.011,0.01
topic6,question,ask,let,answer,want,comment,discuss,talk,give,minut,word,charli,perhap,ben,paul,speech,speak,spencer,press,confer
 ,0.135,0.054,0.053,0.042,0.04,0.04,0.037,0.031,0.026,0.022,0.021,0.021,0.019,0.017,0.016,0.015,0.014,0.012,0.011,0.01
topic7,bank,system,fund,lend,capit,credit,scheme,borrow,cost,compani,spread,liquid,abl,small,requir,loan,loss,mortgag,expand,ensur
 ,0.247,0.049,0.045,0.039,0.031,0.027,0.024,0.023,0.019,0.019,0.017,0.017,0.014,0.013,0.011,0.01,0.009,0.008,0.008,0.007
topic8,issu,financi,import,respons,institut,stabil,perspect,within,england,fpc,context,structur,includ,account,stress,mpc,type,broader,conting,regul
 ,0.076,0.062,0.051,0.032,0.024,0.02,0.017,0.016,0.015,0.015,0.015,0.014,0.013,0.013,0.011,0.011,0.01,0.01,0.009,0.008
topic9,polici,monetari,committe,decis,mpc,appropri,judgement,set,stimulu,stanc,tighten,circumst,outlook,member,remit,alway,time,independ,vote,determin
 ,0.217,0.114,0.071,0.061,0.039,0.033,0.032,0.024,0.02,0.02,0.019,0.015,0.013,0.012,0.012,0.011,0.01,0.009,0.009,0.009
