topic0,polici,monetari,can,stabil,stanc,appropri,ensur,must,cannot,achiev,order,consist,either,deliv,help,direct,clear,return,alon,object
 ,0.191,0.161,0.048,0.024,0.016,0.014,0.014,0.013,0.013,0.011,0.011,0.01,0.01,0.007,0.005,0.005,0.004,0.004,0.004,0.004
topic1,inflat,target,term,medium,outlook,near,close,bring,remain,difficult,judg,within,cpi,committe,return,continu,news,describ,benign,littl
 ,0.293,0.173,0.103,0.055,0.028,0.025,0.017,0.004,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
topic2,market,rate,rise,condit,path,expect,forecast,yield,impli,period,follow,august,slightli,bank,end,remain,curv,tighten,somewhat,gentli
 ,0.108,0.091,0.056,0.04,0.038,0.031,0.025,0.021,0.021,0.02,0.018,0.013,0.01,0.009,0.009,0.008,0.008,0.006,0.006,0.006
topic3,domest,pressur,cost,reflect,wage,factor,weak,persist,inflationari,extern,subdu,result,higher,drag,remain,larg,underli,impact,margin,part
 ,0.076,0.055,0.052,0.047,0.039,0.036,0.034,0.022,0.021,0.019,0.018,0.016,0.012,0.012,0.011,0.011,0.007,0.007,0.006,0.006
topic4,price,inflat,cpi,energi,import,month,fall,rise,push,higher,increas,commod,pressur,oil,food,red,temporari,vat,ga,drop
 ,0.171,0.147,0.05,0.039,0.037,0.031,0.027,0.026,0.021,0.021,0.019,0.018,0.018,0.017,0.015,0.011,0.01,0.01,0.009,0.008
topic5,economi,world,recoveri,euro,area,demand,unit,prospect,confid,sign,fiscal,slowdown,state,kingdom,sharp,especi,japan,final,outlook,led
 ,0.1,0.091,0.04,0.037,0.036,0.029,0.027,0.025,0.024,0.018,0.014,0.013,0.012,0.011,0.009,0.008,0.007,0.006,0.006,0.006
topic6,spend,real,consum,incom,consumpt,hous,household,growth,slow,home,price,weaker,squeez,debt,slowdown,eas,dispos,recov,confid,deceler
 ,0.075,0.066,0.061,0.056,0.047,0.047,0.045,0.042,0.035,0.023,0.019,0.014,0.013,0.008,0.008,0.007,0.007,0.007,0.007,0.007
topic7,capac,demand,suppli,spare,economi,degre,margin,product,extent,potenti,affect,rel,absorb,rais,elimin,judg,impact,slack,excess,assess
 ,0.09,0.082,0.078,0.059,0.052,0.027,0.024,0.022,0.015,0.012,0.011,0.01,0.009,0.006,0.005,0.005,0.005,0.005,0.005,0.005
topic8,remain,level,expect,low,around,current,rate,continu,despit,close,mpc,forecast,end,come,larg,mean,good,market,period,begin
 ,0.118,0.089,0.07,0.035,0.028,0.028,0.023,0.015,0.013,0.013,0.007,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004
topic9,period,forecast,committe,chart,judgement,path,report,follow,assumpt,show,gdp,judg,best,remain,page,collect,outcom,rang,impli,outlook
